date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
2012-09-17,1200,21,70,4,6,292,WNW,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,53.0,10.0,6.0,1020.0,30.0,0.0,21.0,70.0,11.0,52.0,21.0,70.0,4.0,7.0,21.0,70.0
2012-09-18,0,9,49,5,8,245,WSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,91.0,10.0,6.0,1022.0,30.0,32.0,9.0,49.0,8.0,46.0,8.0,47.0,9.0,15.0,8.0,47.0
2012-09-18,1200,17,63,3,5,224,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0.0,64.0,9.0,5.0,1022.0,30.0,40.0,17.0,63.0,10.0,50.0,17.0,63.0,4.0,7.0,17.0,63.0
2012-09-19,0,11,51,4,7,184,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,84.0,10.0,6.0,1021.0,30.0,22.0,11.0,51.0,8.0,46.0,10.0,49.0,9.0,14.0,10.0,49.0
2012-09-19,1200,20,67,9,15,174,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,52.0,10.0,6.0,1019.0,30.0,30.0,20.0,67.0,9.0,49.0,20.0,67.0,12.0,19.0,20.0,67.0
2012-09-20,0,10,50,7,11,182,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,92.0,10.0,6.0,1019.0,30.0,10.0,10.0,50.0,9.0,48.0,9.0,47.0,13.0,21.0,9.0,47.0
2012-09-20,1200,21,71,7,12,183,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,0.0,46.0,10.0,6.0,1018.0,30.0,0.0,24.0,76.0,9.0,49.0,21.0,71.0,9.0,14.0,21.0,71.0
2012-09-21,0,11,52,7,11,180,S,113,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear,0.0,0.0,81.0,10.0,6.0,1018.0,30.0,7.0,11.0,52.0,8.0,46.0,10.0,49.0,13.0,21.0,10.0,49.0
2012-09-21,1200,20,69,3,5,202,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,50.0,10.0,6.0,1019.0,30.0,29.0,20.0,69.0,10.0,49.0,20.0,69.0,4.0,6.0,20.0,69.0
2012-09-22,0,9,49,6,9,27,NNE,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0.0,0.0,95.0,2.0,1.0,1021.0,30.0,50.0,9.0,49.0,9.0,47.0,7.0,45.0,9.0,14.0,7.0,45.0
2012-09-22,1200,17,62,7,11,88,E,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.3,0.0,65.0,9.0,5.0,1018.0,30.0,33.0,17.0,62.0,10.0,50.0,17.0,62.0,8.0,13.0,17.0,62.0
2012-09-23,0,11,52,8,13,148,SSE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain possible,0.2,0.0,89.0,9.0,5.0,1012.0,30.0,33.0,11.0,52.0,9.0,49.0,9.0,49.0,16.0,26.0,9.0,49.0
2012-09-23,1200,12,54,6,10,171,S,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,3.6,0.1,90.0,7.0,4.0,1007.0,30.0,96.0,12.0,54.0,11.0,51.0,11.0,52.0,9.0,14.0,11.0,52.0
2012-09-24,0,6,43,6,10,252,WSW,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.0,0.0,98.0,10.0,6.0,1004.0,30.0,82.0,6.0,43.0,6.0,43.0,4.0,38.0,11.0,17.0,4.0,38.0
2012-09-24,1200,11,51,9,14,222,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.2,0.0,79.0,10.0,6.0,1002.0,30.0,90.0,11.0,51.0,7.0,45.0,8.0,46.0,11.0,18.0,8.0,46.0
2012-09-25,0,8,47,8,13,279,W,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light rain,1.9,0.1,96.0,9.0,5.0,1000.0,30.0,91.0,8.0,47.0,8.0,46.0,5.0,42.0,12.0,19.0,5.0,42.0
2012-09-25,1200,11,51,10,16,269,W,263,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy light drizzle,0.2,0.0,79.0,5.0,3.0,1007.0,30.0,68.0,11.0,51.0,7.0,45.0,8.0,46.0,13.0,21.0,8.0,46.0
